question_relation|freq
P19|1744
P136|1577
P27|1560
P21|1506
P20|1041
R19|925
P495|923
P413|847
R136|767
P364|718
P175|474
P106|386
R413|350
R175|299
P57|277
R106|243
P31|239
P264|207
P404|204
P58|191
P509|184
R57|183
P17|183
P50|180
P86|166
P162|153
P131|151
R264|135
P140|134
P607|130
P40|130
R58|128
P1303|123
R50|116
P123|115
R40|114
R162|109
R404|108
P196|98
R509|95
P172|93
P272|84
R131|77
R86|75
P178|73
R1303|70
R607|62
P170|58
P276|56
P397|55
P65|54
R123|53
P344|53
P119|52
R272|50
P179|49
P112|48
R170|46
P138|46
R172|46
R344|45
R276|45
R178|44
R112|43
R17|39
R421|39
P421|39
P149|38
R138|33
P641|30
R21|29
R179|28
P105|28
P710|26
P1040|25
P171|25
R119|25
P59|24
P407|24
P737|24
P61|23
P676|23
P53|22
R1040|21
R149|20
P403|19
P150|18
P156|17
R641|16
P144|14
P1142|14
P1408|13
R171|13
R676|12
P84|11
R1431|11
R105|10
R287|10
P177|9
P1029|9
R177|9
P1431|8
R1142|8
R144|8
R115|7
R31|7
P115|7
P287|6
P155|6
P289|5
P826|5
P113|5
P800|5
P398|4
R59|4
R376|3
R176|2
R161|2
R289|2
P279|2
P176|1
P81|1
R279|1
P189|1
P376|1
